Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty,Question_Link,Solution,Slug,Test_Cases,Has_Solutions,Languages
391, Perfect Rectangle,"['Array', 'Line Sweep']",34.20%,False,Hard,https://leetcode.com/problems/perfect-rectangle/description,https://leetcode.com/problems/perfect-rectangle/solutions,perfect-rectangle,"[{""input"": ""rectangles = [[1,1,3,3],[3,1,4,2],[3,2,4,4],[1,3,2,4],[2,3,3,4]]"", ""expectedOutput"": ""true""}, {""input"": ""rectangles = [[1,1,2,3],[1,3,2,4],[3,1,4,2],[3,2,4,4]]"", ""expectedOutput"": ""false""}, {""input"": ""rectangles = [[1,1,3,3],[3,1,4,2],[1,3,2,4],[2,2,4,4]]"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
392, Is Subsequence,"['Two Pointers', 'String', '1+']",48.10%,False,Easy,https://leetcode.com/problems/is-subsequence/description,https://leetcode.com/problems/is-subsequence/solutions,is-subsequence,"[{""input"": ""s = \""abc\"", t = \""ahbgdc\"""", ""expectedOutput"": ""true""}, {""input"": ""s = \""axc\"", t = \""ahbgdc\"""", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
393, UTF-8 Validation,"['Array', 'Bit Manipulation']",45.30%,False,Medium,https://leetcode.com/problems/utf-8-validation/description,https://leetcode.com/problems/utf-8-validation/solutions,utf-8-validation,"[{""input"": ""data = [197,130,1]"", ""expectedOutput"": ""true""}, {""input"": ""data = [235,140,4]"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
394, Decode String,"['String', 'Stack', 'Recursion']",60.10%,False,Medium,https://leetcode.com/problems/decode-string/description,https://leetcode.com/problems/decode-string/solutions,decode-string,"[{""input"": ""s =  \""3[a]2[bc] \"""", ""expectedOutput"": ""\""aaabcbc \""""}, {""input"": ""s =  \""3[a2[c]] \"""", ""expectedOutput"": ""\""accaccacc \""""}, {""input"": ""s =  \""2[abc]3[cd]ef \"""", ""expectedOutput"": ""\""abcabccdcdcdef \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
395, Longest Substring with At Least K Repeating Characters,"['Hash Table', 'String', '2+']",45.10%,False,Medium,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters/description,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters/solutions,longest-substring-with-at-least-k-repeating-characters,"[{""input"": ""s =  \""aaabb \"", k = 3"", ""expectedOutput"": ""3""}, {""input"": ""s =  \""ababbc \"", k = 2"", ""expectedOutput"": ""5""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
396, Rotate Function,"['Array', 'Math', 'Dynamic Programming']",43.10%,False,Medium,https://leetcode.com/problems/rotate-function/description,https://leetcode.com/problems/rotate-function/solutions,rotate-function,"[{""input"": ""nums = [4,3,2,6]"", ""expectedOutput"": ""26""}, {""input"": ""nums = [100]"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
397, Integer Replacement,"['Dynamic Programming', 'Greedy', '2+']",36.10%,False,Medium,https://leetcode.com/problems/integer-replacement/description,https://leetcode.com/problems/integer-replacement/solutions,integer-replacement,"[{""input"": ""n = 8"", ""expectedOutput"": ""3""}, {""input"": ""n = 7"", ""expectedOutput"": ""4""}, {""input"": ""n = 4"", ""expectedOutput"": ""2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
398, Random Pick Index,"['Hash Table', 'Math', '2+']",63.90%,False,Medium,https://leetcode.com/problems/random-pick-index/description,https://leetcode.com/problems/random-pick-index/solutions,random-pick-index,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
399, Evaluate Division,"['Array', 'String', 'Depth-First Search', '4+']",62.30%,False,Medium,https://leetcode.com/problems/evaluate-division/description,https://leetcode.com/problems/evaluate-division/solutions,evaluate-division,"[{""input"": ""equations = [[ \""a \"", \""b \""],[ \""b \"", \""c \""]], values = [2.0,3.0], queries = [[ \""a \"", \""c \""],[ \""b \"", \""a \""],[ \""a \"", \""e \""],[ \""a \"", \""a \""],[ \""x \"", \""x \""]]"", ""expectedOutput"": ""[6.00000,0.50000,-1.00000,1.00000,-1.00000]""}, {""input"": ""equations = [[ \""a \"", \""b \""],[ \""b \"", \""c \""],[ \""bc \"", \""cd \""]], values = [1.5,2.5,5.0], queries = [[ \""a \"", \""c \""],[ \""c \"", \""b \""],[ \""bc \"", \""cd \""],[ \""cd \"", \""bc \""]]"", ""expectedOutput"": ""[3.75000,0.40000,5.00000,0.20000]""}, {""input"": ""equations = [[ \""a \"", \""b \""]], values = [0.5], queries = [[ \""a \"", \""b \""],[ \""b \"", \""a \""],[ \""a \"", \""c \""],[ \""x \"", \""y \""]]"", ""expectedOutput"": ""[0.50000,2.00000,-1.00000,-1.00000]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
400, Nth Digit,"['Math', 'Binary Search']",35.20%,False,Medium,https://leetcode.com/problems/nth-digit/description,https://leetcode.com/problems/nth-digit/solutions,nth-digit,"[{""input"": ""n = 3"", ""expectedOutput"": ""3""}, {""input"": ""n = 11"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
401, Binary Watch,"['Backtracking', 'Bit Manipulation']",55.40%,False,Easy,https://leetcode.com/problems/binary-watch/description,https://leetcode.com/problems/binary-watch/solutions,binary-watch,"[{""input"": ""turnedOn = 1"", ""expectedOutput"": ""[\""0:01\"",\""0:02\"",\""0:04\"",\""0:08\"",\""0:16\"",\""0:32\"",\""1:00\"",\""2:00\"",\""4:00\"",\""8:00\""]""}, {""input"": ""turnedOn = 9"", ""expectedOutput"": ""[]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
402, Remove K Digits,"['String', 'Stack', 'Greedy', '1+']",34.00%,False,Medium,https://leetcode.com/problems/remove-k-digits/description,https://leetcode.com/problems/remove-k-digits/solutions,remove-k-digits,"[{""input"": ""num =  \""1432219 \"", k = 3"", ""expectedOutput"": ""\""1219 \""""}, {""input"": ""num =  \""10200 \"", k = 1"", ""expectedOutput"": ""\""200 \""""}, {""input"": ""num =  \""10 \"", k = 2"", ""expectedOutput"": ""\""0 \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
403, Frog Jump,"['Array', 'Dynamic Programming']",46.30%,False,Hard,https://leetcode.com/problems/frog-jump/description,https://leetcode.com/problems/frog-jump/solutions,frog-jump,"[{""input"": ""stones = [0,1,3,5,6,8,12,17]"", ""expectedOutput"": ""true""}, {""input"": ""stones = [0,1,2,3,4,8,9,11]"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
404, Sum of Left Leaves,"['Tree', 'Depth-First Search', '2+']",61.10%,False,Easy,https://leetcode.com/problems/sum-of-left-leaves/description,https://leetcode.com/problems/sum-of-left-leaves/solutions,sum-of-left-leaves,"[{""input"": ""root = [3,9,20,null,null,15,7]"", ""expectedOutput"": ""24""}, {""input"": ""root = [1]"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
405, Convert a Number to Hexadecimal,"['Math', 'Bit Manipulation']",49.50%,False,Easy,https://leetcode.com/problems/convert-a-number-to-hexadecimal/description,https://leetcode.com/problems/convert-a-number-to-hexadecimal/solutions,convert-a-number-to-hexadecimal,"[{""input"": ""num = 26"", ""expectedOutput"": ""\""1a\""""}, {""input"": ""num = -1"", ""expectedOutput"": ""\""ffffffff\""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
406, Queue Reconstruction by Height,"['Array', 'Binary Indexed Tree', '2+']",73.80%,False,Medium,https://leetcode.com/problems/queue-reconstruction-by-height/description,https://leetcode.com/problems/queue-reconstruction-by-height/solutions,queue-reconstruction-by-height,"[{""input"": ""people = [[7,0],[4,4],[7,1],[5,0],[6,1],[5,2]]"", ""expectedOutput"": ""[[5,0],[7,0],[5,2],[6,1],[4,4],[7,1]]""}, {""input"": ""people = [[6,0],[5,0],[4,0],[3,2],[2,2],[1,4]]"", ""expectedOutput"": ""[[4,0],[5,0],[2,2],[3,2],[1,4],[6,0]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
407, Trapping Rain Water II,"['Array', 'Breadth-First Search', '2+']",48.50%,False,Hard,https://leetcode.com/problems/trapping-rain-water-ii/description,https://leetcode.com/problems/trapping-rain-water-ii/solutions,trapping-rain-water-ii,"[{""input"": ""heightMap = [[1,4,3,1,3,2],[3,2,1,3,2,4],[2,3,3,2,3,1]]"", ""expectedOutput"": ""4""}, {""input"": ""heightMap = [[3,3,3,3,3],[3,2,2,2,3],[3,2,1,2,3],[3,2,2,2,3],[3,3,3,3,3]]"", ""expectedOutput"": ""10""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
408, Valid Word Abbreviation,"['Two Pointers', 'String']",36.30%,True,Easy,https://leetcode.com/problems/valid-word-abbreviation/description,https://leetcode.com/problems/valid-word-abbreviation/solutions,valid-word-abbreviation,"[{""input"": ""word =  \""internationalization \"", abbr =  \""i12iz4n \"""", ""expectedOutput"": ""true""}, {""input"": ""word =  \""apple \"", abbr =  \""a2e \"""", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
409, Longest Palindrome,"['Hash Table', 'String', 'Greedy']",55.40%,False,Easy,https://leetcode.com/problems/longest-palindrome/description,https://leetcode.com/problems/longest-palindrome/solutions,longest-palindrome,"[{""input"": ""s =  \""abccccdd \"""", ""expectedOutput"": ""7""}, {""input"": ""s =  \""a \"""", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
410, Split Array Largest Sum,"['Array', 'Binary Search', '3+']",56.70%,False,Hard,https://leetcode.com/problems/split-array-largest-sum/description,https://leetcode.com/problems/split-array-largest-sum/solutions,split-array-largest-sum,"[{""input"": ""nums = [7,2,5,10,8], k = 2"", ""expectedOutput"": ""18""}, {""input"": ""nums = [1,2,3,4,5], k = 2"", ""expectedOutput"": ""9""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
411, Minimum Unique Word Abbreviation,"['Array', 'String', 'Backtracking', '1+']",39.90%,True,Hard,https://leetcode.com/problems/minimum-unique-word-abbreviation/description,https://leetcode.com/problems/minimum-unique-word-abbreviation/solutions,minimum-unique-word-abbreviation,"[{""input"": ""target =  \""apple \"", dictionary = [ \""blade \""]"", ""expectedOutput"": ""\""a4 \""""}, {""input"": ""target =  \""apple \"", dictionary = [ \""blade \"", \""plain \"", \""amber \""]"", ""expectedOutput"": ""\""1p3 \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
412, Fizz Buzz,"['Math', 'String', 'Simulation']",73.20%,False,Easy,https://leetcode.com/problems/fizz-buzz/description,https://leetcode.com/problems/fizz-buzz/solutions,fizz-buzz,"[{""input"": ""n = 3"", ""expectedOutput"": ""[\""1\"",\""2\"",\""Fizz\""]""}, {""input"": ""n = 5"", ""expectedOutput"": ""[\""1\"",\""2\"",\""Fizz\"",\""4\"",\""Buzz\""]""}, {""input"": ""n = 15"", ""expectedOutput"": ""[\""1\"",\""2\"",\""Fizz\"",\""4\"",\""Buzz\"",\""Fizz\"",\""7\"",\""8\"",\""Fizz\"",\""Buzz\"",\""11\"",\""Fizz\"",\""13\"",\""14\"",\""FizzBuzz\""]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
413, Arithmetic Slices,"['Array', 'Dynamic Programming', '1+']",65.00%,False,Medium,https://leetcode.com/problems/arithmetic-slices/description,https://leetcode.com/problems/arithmetic-slices/solutions,arithmetic-slices,"[{""input"": ""nums = [1,2,3,4]"", ""expectedOutput"": ""3""}, {""input"": ""nums = [1]"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
414, Third Maximum Number,"['Array', 'Sorting']",35.90%,False,Easy,https://leetcode.com/problems/third-maximum-number/description,https://leetcode.com/problems/third-maximum-number/solutions,third-maximum-number,"[{""input"": ""nums = [3,2,1]"", ""expectedOutput"": ""1""}, {""input"": ""nums = [1,2]"", ""expectedOutput"": ""2""}, {""input"": ""nums = [2,2,3,1]"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
415, Add Strings,"['Math', 'String', 'Simulation']",51.60%,False,Easy,https://leetcode.com/problems/add-strings/description,https://leetcode.com/problems/add-strings/solutions,add-strings,"[{""input"": ""num1 =  \""11 \"", num2 =  \""123 \"""", ""expectedOutput"": ""\""134 \""""}, {""input"": ""num1 =  \""456 \"", num2 =  \""77 \"""", ""expectedOutput"": ""\""533 \""""}, {""input"": ""num1 =  \""0 \"", num2 =  \""0 \"""", ""expectedOutput"": ""\""0 \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
416, Partition Equal Subset Sum,"['Array', 'Dynamic Programming']",46.90%,False,Medium,https://leetcode.com/problems/partition-equal-subset-sum/description,https://leetcode.com/problems/partition-equal-subset-sum/solutions,partition-equal-subset-sum,"[{""input"": ""nums = [1,5,11,5]"", ""expectedOutput"": ""true""}, {""input"": ""nums = [1,2,3,5]"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
417, Pacific Atlantic Water Flow,"['Array', 'Depth-First Search', '2+']",56.20%,False,Medium,https://leetcode.com/problems/pacific-atlantic-water-flow/description,https://leetcode.com/problems/pacific-atlantic-water-flow/solutions,pacific-atlantic-water-flow,"[{""input"": ""heights = [[1,2,2,3,5],[3,2,3,4,4],[2,4,5,3,1],[6,7,1,4,5],[5,1,1,2,4]]"", ""expectedOutput"": ""[[0,4],[1,3],[1,4],[2,2],[3,0],[3,1],[4,0]]""}, {""input"": ""heights = [[1]]"", ""expectedOutput"": ""[[0,0]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
418, Sentence Screen Fitting,"['Array', 'String', 'Dynamic Programming']",36.30%,True,Medium,https://leetcode.com/problems/sentence-screen-fitting/description,https://leetcode.com/problems/sentence-screen-fitting/solutions,sentence-screen-fitting,"[{""input"": ""sentence = [ \""hello \"", \""world \""], rows = 2, cols = 8"", ""expectedOutput"": ""1""}, {""input"": ""sentence = [ \""a \"",  \""bcd \"",  \""e \""], rows = 3, cols = 6"", ""expectedOutput"": ""2""}, {""input"": ""sentence = [ \""i \"", \""had \"", \""apple \"", \""pie \""], rows = 4, cols = 5"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
419, Battleships in a Board,"['Array', 'Depth-First Search', 'Matrix']",75.90%,True,Medium,https://leetcode.com/problems/battleships-in-a-board/description,https://leetcode.com/problems/battleships-in-a-board/solutions,battleships-in-a-board,"[{""input"": ""board = [[ \""X \"", \"". \"", \"". \"", \""X \""],[ \"". \"", \"". \"", \"". \"", \""X \""],[ \"". \"", \"". \"", \"". \"", \""X \""]]"", ""expectedOutput"": ""2""}, {""input"": ""board = [[ \"". \""]]"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
420, Strong Password Checker,"['String', 'Greedy', 'Heap (Priority Queue)']",14.10%,False,Hard,https://leetcode.com/problems/strong-password-checker/description,https://leetcode.com/problems/strong-password-checker/solutions,strong-password-checker,"[{""input"": ""password = \""a\"""", ""expectedOutput"": ""5""}, {""input"": ""password = \""aA1\"""", ""expectedOutput"": ""3""}, {""input"": ""password = \""1337C0d3\"""", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
421, Maximum XOR of Two Numbers in an Array,"['Array', 'Hash Table', '2+']",53.30%,False,Medium,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/description,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/solutions,maximum-xor-of-two-numbers-in-an-array,"[{""input"": ""nums = [3,10,5,25,2,8]"", ""expectedOutput"": ""28""}, {""input"": ""nums = [14,70,53,83,49,91,36,80,92,51,66,70]"", ""expectedOutput"": ""127""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
422, Valid Word Square,"['Array', 'Matrix']",41.50%,True,Easy,https://leetcode.com/problems/valid-word-square/description,https://leetcode.com/problems/valid-word-square/solutions,valid-word-square,"[{""input"": ""words = [ \""abcd \"", \""bnrt \"", \""crmy \"", \""dtye \""]"", ""expectedOutput"": ""true""}, {""input"": ""words = [ \""abcd \"", \""bnrt \"", \""crm \"", \""dt \""]"", ""expectedOutput"": ""true""}, {""input"": ""words = [ \""ball \"", \""area \"", \""read \"", \""lady \""]"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
423, Reconstruct Original Digits from English,"['Hash Table', 'Math', 'String']",51.30%,False,Medium,https://leetcode.com/problems/reconstruct-original-digits-from-english/description,https://leetcode.com/problems/reconstruct-original-digits-from-english/solutions,reconstruct-original-digits-from-english,"[{""input"": ""s = \""owoztneoer\"""", ""expectedOutput"": ""\""012\""""}, {""input"": ""s = \""fviefuro\"""", ""expectedOutput"": ""\""45\""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
424, Longest Repeating Character Replacement,"['Hash Table', 'String', 'Sliding Window']",55.60%,False,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/description,https://leetcode.com/problems/longest-repeating-character-replacement/solutions,longest-repeating-character-replacement,"[{""input"": ""s =  \""ABAB \"", k = 2"", ""expectedOutput"": ""4""}, {""input"": ""s =  \""AABABBA \"", k = 1"", ""expectedOutput"": ""4""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
425, Word Squares,"['Array', 'String', 'Backtracking', '1+']",53.60%,True,Hard,https://leetcode.com/problems/word-squares/description,https://leetcode.com/problems/word-squares/solutions,word-squares,"[{""input"": ""words = [ \""area \"", \""lead \"", \""wall \"", \""lady \"", \""ball \""]"", ""expectedOutput"": ""[[ \""ball \"", \""area \"", \""lead \"", \""lady \""],[ \""wall \"", \""area \"", \""lead \"", \""lady \""]]""}, {""input"": ""words = [ \""abat \"", \""baba \"", \""atan \"", \""atal \""]"", ""expectedOutput"": ""[[ \""baba \"", \""abat \"", \""baba \"", \""atal \""],[ \""baba \"", \""abat \"", \""baba \"", \""atan \""]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
